label,p0_win_pct,p1_win_pct,tie_pct,avg_turns,avg_runtime_s,first_move_advantage_pp
Random vs Random (no continuation),50.0,45.0,5.0,43.51,0.0002254152297973633,5.0
Alpha-Beta(d=5) vs Random (no continuation),94.0,4.0,2.0,31.75,0.03781657934188843,
